tot_cover_spp,count
0,111
0.01,38
0.02,3
0.1,5
0.12000000000000001,1
0.2,2
0.21000000000000002,3
0.22,1
0.3,4
0.4,3
0.41000000000000003,1
0.5,10
0.6,1
0.61,1
0.7,4
0.7000000000000001,1
0.8,11
0.8099999999999999,1
0.8200000000000001,1
0.8300000000000001,1
0.8999999999999999,20
0.9,17
0.9099999999999999,4
0.91,5
0.92,2
0.95,4
0.9500000000000001,1
0.99,2
1,2724
1.01,158
1.02,35
1.03,6
1.1,22
1.2,5
1.3,1
1.9,1
2,3
