species_code,tsn,family,genus,specific_epithet,species,native
CABCAR,18408,Cabombaceae,Cabomba,caroliniana,Cabomba_caroliniana,n
CERDEM,18403,"	Ceratophyllaceae",Ceratophyllum,demersum,Ceratophyllum_demersum,n
ECHBER,182443,"	Alismataceae",Echinodorus,berteroi,Echinodorus_berteroi,y
EGEDEN,38972,Hydrocharitaceae,Egeria,densa,Egeria_densa,n
ELOCAN,38937,Hydrocharitaceae,Elodea,canadensis,Elodea_canadensis,y
FILALG,NA,NA,filamentous,algae,filamentous_algae,y
HETDUB,502960,Pontederiaceae,Heteranthera,dubia,Heteranthera_dubia,y
MYRSPI,27039,Haloragaceae,Myriophyllum,spicatum,Myriophyllum_spicatum,n
NAJGUA,38998,Hydrocharitaceae,Najas,guadalupensis,Najas_guadalupensis,y
NITELL,9467,Characeae,Nitella,sp,Nitella_sp,y
POTCRI,39007,"	Potamogetonaceae",Potamogeton,crispus,Potamogeton_crispus,n
POTFOL,39019,"	Potamogetonaceae",Potamogeton,foliosus,Potamogeton_foliosus,y
POTNOD,39009,"	Potamogetonaceae",Potamogeton,nodosus,Potamogeton_nodosus,y
POTPUS,39017,"	Potamogetonaceae",Potamogeton,pusillus,Potamogeton_pusillus,y
POTRIC,504558,"	Potamogetonaceae",Potamogeton,richardsonii,Potamogeton_richardsonii,y
POTZOS,39055,"	Potamogetonaceae",Potamogeton,zosteriformis,Potamogeton_zosteriformis,y
STUFIL,565546,"	Potamogetonaceae",Stuckenia,filiformis,Stuckenia_filiformis,y
STUPEC,757504,"	Potamogetonaceae",Stuckenia,pectinata,Stuckenia_pectinata,y
VALAUS,NA,Hydrocharitaceae,Vallisneria,australis,Vallisneria_australis,n
