species_code,species,equation
CABCAR,Cabomba_caroliniana,DW=0.0624FW-0.613
CERDEM,Ceratophyllum_demersum,DW=0.0503FW-0.0642
ECHBER,Echinodorus_berteroi,
EGEDEN,Egeria_densa,DW=0.0579FW+0.1819
ELOCAN,Elodea_canadensis,DW=0.0568FW+0.0093
EMPTY,Empty,
FILALG,filamentous_algae,
HETDUB,Heteranthera_dubia,
MYRAQU,Myriophyllum_aquaticum,
MYRSPI,Myriophyllum_spicatum,DW=0.0508FW+1.6131
NAJGUA,Najas_guadalupensis,
NITELL,Nitella_sp,
POTCRI,Potamogeton_crispus,DW=0.0666FW+0.0119
POTFOL,Potamogeton_foliosus,
POTNOD,Potamogeton_nodosus,DW=0.0801FW+0.0003
POTPUS,Potamogeton_pusillus,
POTRIC,Potamogeton_richardsonii,
POTZOS,Potamogeton_zosteriformis,
STUFIL,Stuckenia_filiformis,DW=0.0237FW+1.1305
STUPEC,Stuckenia_pectinata,DW=0.0789FW-0.3408
UNKNOW,Unknown,
VALAUS,Vallisneria_australis,
