species_code,CSTARS
CABCAR,166
CERDEM,1119
EGEDEN,2216
ELOCAN,215
FILALG,339
HETDUB,5
MYRSPI,544
NAJGUA,64
POTCRI,326
POTNOD,40
POTPUS,1
POTRIC,81
STUPEC,276
VALAUS,3
