code,genus,specific_epithet,species,native
CABCAR,Cabomba,caroliniana,Cabomba_caroliniana,n
CERDEM,Ceratophyllum,demersum,Ceratophyllum_demersum,n
ECHBER,Echinodorus,berteroi,Echinodorus_berteroi,y
EGEDEN,Egeria,densa,Egeria_densa,n
ELOCAN,Elodea,canadensis,Elodea_canadensis,y
FILALG,filamentous,algae,filamentous_algae,y
HETDUB,Heteranthera,dubia,Heteranthera_dubia,y
MYRSPI,Myriophyllum,spicatum,Myriophyllum_spicatum,n
"NAJGUA",Najas,guadalupensis,Najas_guadalupensis,y
POTCRI,Potamogeton,crispus,Potamogeton_crispus,n
POTNOD,Potamogeton,nodosus,Potamogeton_nodosus,y
POTPUS,Potamogeton,pusillus,Potamogeton_pusillus,y
POTRIC,Potamogeton,richardsonii,Potamogeton_richardsonii,y
STUPEC,Stuckenia,pectinata,Stuckenia_pectinata,y
VALAUS,Vallisneria,australis,Vallisneria_australis,n
