species,native
Egeria_densa,n
Potamogeton_crispus,n
Ceratophyllum_demersum,y
Najas_guadalupensis,y
Stuckenia_filiformis,y
Stuckenia_pectinata,y
Elodea_canadensis,y
Potamogeton_richardsonii,y
Potamogeton_foliosus,y
Potamogeton_nodosus,y
Nitella_sp,y
Potamogeton_pusillus,y
Myriophyllum_spicatum,n
Potamogeton_zosteriformis,y
Heteranthera_dubia,y
