species_code,FRANKS
CERDEM,514
EGEDEN,473
ELOCAN,270
HETDUB,1
MYRSPI,45
NAJGUA,327
NITELL,8
POTCRI,101
POTFOL,70
POTNOD,4
POTPUS,7
POTRIC,523
POTZOS,1
STUFIL,133
STUPEC,115
