VegetationId,VistNo,SampleID_key,VegetationCodeID,Area,WetWeight,DryWeight,HealthCode,Notes
21,,5022,30,100,,,,pelagic
22,,5022,11,90,,,,
43,,5048,16,90,,,,SAV
44,,5048,11,5,,,,SAV
45,,5048,27,5,,,,SAV
61,,5061,16,40,,,,SAV 40
62,,5061,11,45,,,,SAV 45%
63,,5061,34,5,,,,SAV 5%
69,,5062,34,95,,,,
70,,5069,34,80,,,,
71,,5069,49,10,,,,
72,,5069,16,10,,,,
73,,5061,49,5,,,,SAV
74,,5061,27,5,,,,SAV
75,,5072,27,20,,,,SAV
76,,5072,13,30,,,,SAV
77,,5072,16,50,,,,SAV
83,,5073,27,95,,,,SAV; Veg code MRYSPY corrected to MRYSPI
84,,5073,11,5,,,,SAV
101,,5081,8,100,,,,
105,,5119,49,40,,,,
106,,5119,8,10,,,,
107,,5119,11,10,,,,
108,,5119,16,30,,,,
109,,5126,49,100,,,,
110,,5138,49,100,,,,
112,,5144,27,100,,,,
113,,5145,8,50,,,,
114,,5145,27,50,,,,
123,,5146,11,34,,,,
124,,5146,16,33,,,,
125,,5146,27,33,,,,
126,,5147,16,30,,,,
127,,5147,35,70,,,,
128,,5147,8,0,,,,
130,,5147,11,0,,,,
131,,5148,11,5,,,,
132,,5148,16,60,,,,
133,,5148,46,20,,,,
134,,5148,34,15,,,,
135,,5149,34,30,,,,
136,,5149,16,50,,,,
137,,5149,11,15,,,,
138,,5149,27,5,,,,
139,,5150,49,85,,,,
140,,5150,11,5,,,,
141,,5150,16,5,,,,
142,,5150,8,5,,,,
143,,5151,16,20,,,,
144,,5151,49,70,,,,
145,,5151,8,10,,,,
146,,5152,49,60,,,,
147,,5152,8,20,,,,
148,,5152,16,20,,,,
149,,5152,34,0,,,,
150,,5153,16,70,,,,
151,,5153,27,20,,,,
152,,5153,11,10,,,,
153,,5153,6,0,,,,
154,,5153,8,0,,,,
155,,5154,16,70,,,,
156,,5154,34,15,,,,
157,,5154,49,15,,,,
158,,5154,27,0,,,,
159,,5154,11,0,,,,
160,,5155,11,90,,,,
161,,5155,16,10,,,,
162,,5156,11,45,,,,
163,,5156,16,45,,,,
164,,5156,27,5,,,,
165,,5156,8,5,,,,
166,,5157,11,50,,,,
167,,5157,16,50,,,,
168,,5158,16,60,,,,
169,,5158,11,40,,,,
170,,5159,16,60,,,,
171,,5159,6,40,,,,
172,,5160,6,100,,,,
173,,5161,6,100,,,,
174,,5162,34,70,,,,
175,,5162,61,5,,,,
176,,5162,11,5,,,,
177,,5162,8,10,,,,
178,,5162,16,10,,,,
179,,5162,27,0,,,,
180,,5163,11,100,,,,
181,,5164,11,100,,,,
182,,5166,11,100,,,,Very little SAV
183,,5167,11,50,,,,
184,,5167,8,50,,,,
201,,5200,34,70,,,,
202,,5200,16,30,,,,
203,,5201,49,98,,,,
204,,5201,8,1,,,,
205,,5201,11,1,,,,
229,,5269,49,0,,,,
230,,5278,34,70,,,,
231,,5278,16,20,,,,
232,,5278,49,5,,,,
234,,5278,61,5,,,,
261,,5301,34,70,,,,
262,,5301,16,20,,,,
263,,5301,49,5,,,,
264,,5301,13,5,,,,
265,,5302,27,60,,,,
266,,5302,11,5,,,,
267,,5302,8,5,,,,
268,,5269,16,0,,,,
269,,5269,11,0,,,,
270,,5269,34,0,,,,
271,,5302,16,30,,,,
279,,5312,8,5,,,,
280,,5312,16,70,,,,
281,,5312,27,5,,,,
282,,5312,26,5,,,,
283,,5312,25,15,,,,
321,,5364,28,100,,,,
324,,5365,28,100,,,,
325,,5366,28,100,,,,
361,,5407,49,95,,,,
362,,5407,34,5,,,,
363,,5409,25,80,,,,
364,,5409,8,15,,,,
365,,5409,16,5,,,,
366,,5062,11,5,,,,
367,,5410,16,80,,,,
368,,5410,13,20,,,,
369,,5423,31,100,,,Healthy,
370,,5427,11,95,,,Active new growth;Healthy,
371,,5427,8,1,,,Healthy,
372,,5427,28,5,,,,
373,,5439,28,100,,,,
376,,5465,49,100,,,Healthy,
377,,5469,46,75,,,Healthy,
378,,5469,8,25,,,Healthy,
380,,5498,48,100,,,,
