QAQC,VisitNo,Boat,Crew,Location,Visit Date,Station,Weather,WindWaves,WindDirection,Tide,Secchi,SurfTemp,DO,SC,pH,Turbidity,Phycocyanin,Chlorophyll,FDOM,Microcystis,SondeNo,Wetland,DataQuality,QuestionableData,SiteComments
true,3421,Mudsucker,DC;NE;GU;SH,Winter Island,10/22/2019,Z_OLD_WINT_UNK,1=0-33% clouds,0=Calm; glassy, NW, 4=flood,81,17.1,9.2, 334, 7.8, 8, 0, 0.3, 387, 1=absent, , , , false, Guest: Adam Chorazyczewski  Location: Winter Island  Station: 801  PC:0.15  FDOM: -386.5
true,4081,Mudsucker,CB;ED;DE;SH,Winter Island,08/11/2020,Z_OLD_WINT_UNK,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, SW, 2=ebb,63,21.4,7.5, 6508, 9, 10.6, 0.08, 0.4, 7.6, 2=low, 1, Inside, , false, CHL lot: T70633  NUT lot: A22781264  PHY1-WINT: habitat type: 1; #of jars: 1; GPS: 38.04782; 121.84858  NUT1-EF0820B0238: habitat type: 1; #of jars: 3; GPS: 38.04782; 121.84858  Site veg: SAV-5%; Narrow cattail-15%; LUDWIG-30%; PHRAUS- 45%; TYPLAT-5%; TULESPP-5%; open water-70%  Inside  Sonde # 1  Lots of fish feeding at surface for ~10 minutes - also swallows  
true,4082,Mudsucker,ED;DE;SH,Winter Island,08/11/2020,Z_OLD_WINT_UNK,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, SW, 2=ebb,101,21.5,8.2, 6302, 9.2, 7.7, 0.08, 0.5, 7, 2=low, 1, Inside, , false, PHY2-WINT: habitat type: 1; # of jars: 1; jar type: 4 oz; depth water: 4; GPS: 38.05344; 121.8.5488  Inside  Sonde #1  Vegetation: SAV-5%; LUDWIG-10%; CATTAIL-5%; TULE SPP-5%; PHRAUS-7.5%; open water-60%
true,4083,Mudsucker,ED;DE;SH,Winter Island,08/11/2020,Z_OLD_WINT_UNK,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, SW, 2=ebb,53,22.6,7.6, 3614, 9.3, 7.4, , 0.3, 7.2, 2=low, 1, Inside, , false, PHY3-WINT- habitat type: 1; gear ID: 1; # of jars: 1; jar type: 4 oz; depth H2O: 4; GPS: 38.02944; 121.84121  Inside  Sonde 1  Veg: SAV-5%; LUDWIG-5%; TULESPP-15%; CATTAIL-25%; PHRAUS-10%; open water-45%  PC is -0.03  Mac issue-redone   PHY3-WINT- habitat type: 1; gear ID: 1; # of jars: 1; jar type: 4 oz; depth H2O: 4; GPS: 38.02944; 121.84121  PC read -0.03 -DSE07OCT2021
true,4084,Mudsucker,ED;DE;MMS,Tule Red,08/12/2020,Z_OLD_TULE_UNK,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, N, 2=ebb,77,21,8.2, 17446, 10, 6.8, 0.02, 1.2, 41.1, 1=absent, 1, Inside, , false, PHY1-TULE: habitat type: 1; # of jars: 1; jar type: amber jar; depth water: 5; GPS1  NUT1-TULE:  habitat type: 1; # of jars: 3; jar type: 1L; depth water: 5; GPS1  EF0820 B0241 + EF0820 B0243  CHL filter lot: T70633  Nutrient filter lot: A22781264  Blank -  EF0820B0237  Inside  Sonde 1  Veg: FILAG-10%; TULESPP-30%; UNK SEDGE-60%; open water-90%
true,4103,SeaArk,DE;MMS,Winter Island,10/08/2020,Z_OLD_WINT_UNK,3=66-100% clouds,1=wind 1-3 mph; scaley ripples, W, 2=ebb,93,19.6,8, 8211, 6.7, , 0.24, 0.45, 9, 2=low, 1, Inside, , false, Inside  Sonde 1  Veg: SAV-25%; PHRAUS-30%; TULESPP-10%; ALTPHI-10%; LUDWIG-15%; CATTAILSPP-10%; open water-40%  EAV3-WINT: gear ID: 2. # of jars: 2; jar type: 500; SHAME-80%; health: 1; SCHACU-20%; health: 1  FAV2-WINT: gear ID: 1; # of jars: gal; ALTPHI-100%; health: 1  SR1-WINT: jar type: gal; STUPEC-100%; health: 1;2; FILAG- health: 1;  mass: 994g  SAV1-WINT: STUPEC-100%; health: 1;2; FILAG- health: 1      
true,4104,SeaArk,DE;MMS,Browns Island,10/08/2020,Z_OLD_BROW_UNK,2=33-66% clouds,1=wind 1-3 mph; scaley ripples, W, 2=ebb,75,20.3,8.7, 7091, 7, , 0.24, 0.51, 7.9, 2=low, 1, Inside, , false, Inside  Sonde #1  VEG: SAV-20%; CATTAIL-10%; TULESPP-65%; PHRAUS-5%; ALTPHI; open water-80%  EAV4-BROW: gear ID 3; 1 jar; gallon bag; SCHCAL-100%; health: 1  EAV-5-BROW: gear ID 2; 1 jar; gallon bag; SCHCAL-100%; health: 1  EAV6-BROW: gear ID 1; 1 jar; gallon bag; PHRAUS-100%; health: 1
true,4105,SeaArk,DE;MMS,Browns Island,10/08/2020,Z_OLD_BROW_UNK,3=66-100% clouds,1=wind 1-3 mph; scaley ripples, W, 3=low slack,,19.2,7.8, 8757, 6.5, , 0.28, 0.7, 18.8, 2=low, 1, Inside, , false, Inside  Sonde #1  Veg: SAV-40%; ALTPHI-25%; TULESPP-15%; CATTAILSPP-10%; LUDWIG-5%; HYDRAN-5%; open water-10%  Veg comments: wow; all now alligator!  SR2-BROW: # of jars: 1; jar type: gal; EGEDEN-55%; health: 1;2;3; MYRSPI-20%; health: 1;2; FILAG-15%; health: 3; CERDEN-10%; health: 1;2; mass: 424g  SAV2-BROW: # of jars: 1; jar type: gal; EGEDEN-55%; health: 1;2;3; MYRSPI-20%; health: 1;2; FILAG-15%; health: 3; ELODEA- health: 1;2  FAV3-BROW: # of jars: 1; jar type: gal; ALTPHI-100%; health: 1  FAV4-BROW: # of jars: 1; jar type: 500; LUDWIG-100%; health: 1; GPS look on map  Field blank -> in parking lot 2 500ml and 1 250ml; 3x rinse bucket in DI  Secchi: could see to bottom (3.9 ft+)-DSE 08OCT2021
true,4106,Mudsucker,ED;DE;KMP,Tule Red,10/09/2020,Z_OLD_TULE_UNK,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, SW, 2=ebb,37,17.4,6.6, 18912, 6.9, 16.4, 0.25, 1.15, 41.7, 1=absent, 2, Inside, , false, NUT2 EF1020B0579: habitat type: 1; # of jars: 2; jar type: 1L  PHY1-TULE: habitat type: 1; # of jars: 1; jar type: 4oz amber  Inside  Sonde #2  Veg: TULESPP-95%; CATTAILSPP-5%; PHRAUS-0%; open water-80%  Nut filter lot: A22781264  Chl filter lot: 26915012  Blank EF1020B0573
true,4107,Mudsucker,ED;DE;KMP,Tule Red,10/09/2020,Z_OLD_TULE_UNK,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, SW, 2=ebb,42,17.7,7.2, 18679, 7.2, 16.9, 0.26, 1.04, 34.7, 1=absent, 2, Inside, , false, PHY2-TULE: 1 jar; 4 oz jar; GPS1  Inside  Sonde 2  Veg: TULESPP-50%; CATTAILSPP-25%; PHRAUS-25%; open water-80%
true,3109,Mudsucker,JC;DC;SH,Nurse-Denverton,10/11/2019,Z_OLD_BLACKLOCK,1=0-33% clouds,0=Calm; glassy, NE, 4=flood,,,, , , , , , , 1=absent, , , , false, large branch in net - no rips
true,3125,Mudsucker,CB;DC;GU;SH;MMS,Browns Island,10/16/2019,Z_OLD_520 FRP,2=33-66% clouds,2= wind 4-7 mph; small wavelets, W, 3=low slack,58,17.2,9, 1086, 7.2, 12.1, 0.15, 0.4, 392, 1=absent, , , , false, Location: Confluence Station: 520FRP  Updated: Browns; 520
true,3282,Mudsucker,JC;DC;DE;SH,Chipps Island,10/14/2019,Z_OLD_CHIP_UNK,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, NW, 2=ebb,64,15.4,7.8, 4079, 7.5, 11.4, 0.16, 0.4, 776, 1=absent, 2, Inside, , false, Location Chipps  Station Inside  fDOM circled in data sheet  Tow type 1  Drag method 1  VEG%: SAVGEN 50%; SCHSPP 30%; PHRAUS 20%; Open water no veg 20%  photo 630   depth was not recorded for SAV3 and SR2
true,3129,Chinook,JC;DC;MMS,Flyway Farms,08/22/2019,Z_OLD_FLYWAY,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, , 4=flood,40,24.5,7.3, 419, 8, 22.4, , 0.9, , 1=absent, , , , false, Location: Flyway Farms  No station recorded  on data sheet; wind direction box not marked correctly 
true,3142,Mudsucker,DC;GU;KP;MMS,Stacys Island,08/27/2019,Z_OLD_STACYS,1=0-33% clouds,0=Calm; glassy, W, 4=flood,140,23.4,7.8, 316, 7.7, 3.8, , 0.3, , 3=medium, , , , false, Location: Stacy Island; station not listed
false,3061,Mudsucker,DC;SH;KP;MMS,Yolo Bypass,09/23/2019,Z_OLD_STAIRSTEPS1,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, N, 3=low slack,64,20.3,5.8, 565, 7.8, 7.7, , 0.6, , 1=absent, , , , false, 
true,3089,Mudsucker,DC;NE;GU;MMS,Browns Island,08/12/2019,Z_OLD_BROW_UNK,1=0-33% clouds,0=Calm; glassy, W, 4=flood,53,23.2,8.7, 2037, 7.7, 10.7, , 0.5, , 3=medium, , , , false, Kim Tenggardjaja joins crew at the dock. Location based on GPS.
true,3106,Mudsucker,JC;DC;SH,Grizzly Bay,10/11/2019,Z_OLD_602FRP,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, NE, 4=flood,80,15.6,10, 8202, 8.1, 8, , 1.6, , 1=absent, , , , false, 
true,3141,Mudsucker,DC;GU;KP;MMS,Stacys Island,08/27/2019,Z_OLD_STACYS,,, , ,,,, , , , , , , , , , , false, Location: Stacy Island; no station listed
false,3277,Mudsucker,CB;JC;DE;SH;MMS,Decker Island,09/11/2019,Z_OLD_DECK_UNK,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, NA, 4=flood,130,20,6.2, 164, 7.3, 8.2, 0.23, 0.3, 11.2, 2=low, , , , false, Location Decker  Station: Horseshoe bend 1 ; datasheet says to check  SC on data sheet is 163.6; database doesn't allow for decimals in SC field so I rounded up  Tow type 1  Drag method 1  VEG%: EGEDEN 100% open water (PELAGIC) 70%  NUT3 38.08480 121.72413 - collected from closer to breach; GPS from map  PHY2-DI-11SEP2019 taken 38.08480 121.72413 - collected from closer to breach; GPS from map  PHY and NUT collected above SAV from water flowing from Decker inside
true,3164,Mudsucker,JC;DC;MMS,Nurse-Denverton,08/08/2019,Z_OLD_LITTLE HONKER BAY,1=0-33% clouds,2= wind 4-7 mph; small wavelets, NW, 4=flood,34,21.2,7.6, 10997, 7.6, 31.3, , 1.4, , 1=absent, , , , false, Location: Little Honker Bay; station unknown.  Actual Chl: 1.37
true,3167,Mudsucker,JC;DC;MMS,Grizzly Bay,08/08/2019,Z_OLD_GRIZ_UNK,,3= wind 8-12 mph; large wavelets, W, 2=ebb,17,21,8, 24388, 7.8, 67.2, , 1.1, , 1=absent, , , , false, Station unknown
true,3204,Mudsucker,CB;NE;DE;SH;MMS,Browns Island,10/15/2019,Z_OLD_BROW_UNK,1=0-33% clouds,2= wind 4-7 mph; small wavelets, NW, 2=ebb,48,16.6,8.9, 1190, 7.7, 16.7, 0.19, 4.3, 416.6, 2=low, 2, Inside, , false, Location: Browns Island - Inside  Veg Data: PHRAUS (25%); SCHSPP (50%); TYPSPP (25%)  Open Water: 50%   Photo 631 - Cattail sample taken    Sample ID: EAV1-BROW-15OCT2019  Gear ID: 3  # Jars: 1  Jar Type: Gallon Bag  
true,3254,Mudsucker,MA;DC;GU;MMS,Horseshoe Bend,08/06/2019,Z_OLD_DECKER BS2,1=0-33% clouds,0=Calm; glassy, SW, 2=ebb,76,23.8,7.9, 422, 7.6, 5.3, , 0.8, , 2=low, , , , false, Guest- Nicole Russell; Location Horseshoe Bend; station: BS2; Actual Chl: 0.81
true,3283,Mudsucker,JC;DC;DE;SH,Chipps Island,10/14/2019,Z_OLD_CHIP_UNK,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 2=ebb,48,15.1,7.7, 4116, 7.4, 14.5, 0.17, 0.52, , 1=absent, 2, Inside, , false, Location Chipps  Station: inside  fDOM circled in data sheet  Tow type 1  drag method 4  VEG %: SAVGEN 50%; SCHSPP 30%; PHRAUS 20%; Open water no veg 20%  EAV 4 sample base of tules as well  Zoop 4 sampled for 5 minutes  MAC4 sampled time (unknown comment on datasheet wasn't finished  
true,3284,Kayak,JC;DC;DE;SH,Chipps Island,10/14/2019,Z_OLD_CHIP_UNK,1=0-33% clouds,0=Calm; glassy, W, 4=flood,,16.3,8.5, 4224, 7.2, 8.7, 0.14, 0.78, 1502, 1=absent, 2, Inside, , false, Location Chipps  Station inside  Kayak were used  fDOM  circled in data sheet  Secchi not recorded  VEG%: SCHSPP 25%; PHRAUS 50%; TYPSPP 5%; SAVGEN 20%; AZOLLA T;  Open water no veg 40%;  EF1019B0727 and duplicate EF1019B0728 38.05841 121.90704  CHL filter lot: T706233  Nutrient filter lot: A22781264  PHY1 38.05841 121.90704    
true,3285,Kayak,JC;DC;DE;SH,Chipps Island,10/14/2019,Z_OLD_CHIP_UNK,1=0-33% clouds,0=Calm; glassy, W, 4=flood,,16.3,8.5, 4224, 7.2, 8.7, 0.14, 0.78, 1502, 1=absent, 2, Inside, , false, Loaction: Chipps  Station not specified  Kayaks were used  Environmental were taken from previous site. site visit 3284.   VEG%: PHRAUS 50%; SCHSPP 25%; TYPSPP 5%; SAVGEN 20%; AZOLLA T; Open water no veg 40%;  
true,3309,Mudsucker,DC;DE;KP,Nurse-Denverton,06/21/2019,Z_OLD_BLACKLOCK,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, NW, 2=ebb,22,20,6.9, 782, 7.5, 45.2, , 1.3, 18.9, 1=absent, 2, , , false, Location Blacklock  Station : not recorded  tow type 1  drag method 1  VEG%: PHRAUS 55%; SCHSPP 45%; open water unrecorded  dats sheet says fish in sample does knot specify  PC read as negative 0.08  
true,3310,Mudsucker,DC;DE;SH;KP;MMS,Wings Landing,06/21/2019,Z_OLD_WINGS 1,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, NW, 2=ebb,30,20.3,5.7, 2182, 7.7, 42.7, , 1.9, 43.6, 1=absent, 2, , , false, Location wings landing  station : not recorded.  secchi was recorded from the out side but all water is from the control structure  fish in sample but doesn't specify.  PC is -0.07 
true,3311,Chinook,NE;DE;MMS,Lookout Slough,10/29/2019,Z_OLD_LOOK_UNK,1=0-33% clouds,0=Calm; glassy, NA, 2=ebb,123,12.3,9, 2011, 8, 1.9, 0.5, 0.4, 436.8, 1=absent, 1, Inside, , false, Location: Lookout   statition: inside  tow type 1  drag method 1  VEG%: SAV 95%;  SCHSPP 5%; open water 95%  NUT1=EF1019B0733 38.28978 121.71719  CHL filter lot:T70633  Nutrient filter lot: A10168093  Blank= EF1019B0729  
true,3312,Chinook,NE;DE;MMS,Liberty Island,10/29/2019,Z_OLD_LIBE_UNK,1=0-33% clouds,3= wind 8-12 mph; large wavelets, NE, 2=ebb,43,13.7,9, 142, 7.9, 8.9, 0.53, 4.2, 257, 1=absent, 1, Inside, , false, location Liberty  station inside  tow type 1   drag method 1   VEG%  SAVGEN 95%; SCHSPP 5%  Mysid clogged with veg- don't trus meter  Nutrient filter lot: A10168093  CHL filter lot:T70633  NUT2=EF1019B0732 and EF1019B0734
true,3313,Chinook,NE;DE;MMS,Flyway Farms,10/29/2019,Z_OLD_YOLO_UNK,1=0-33% clouds,2= wind 4-7 mph; small wavelets, N, 2=ebb,38,12.2,9.1, 220, 7.9, 8, 0.55, 0.4, 426.1, 1=absent, 1, Inside, , false, tow type 1  Location: YFF  Station Inside  drag method 1    NUT3= EF1019B0730  Nutrient lot: A22781264  
true,3314,Mudsucker,CB;DE;GU;KP;MMS,Stacys Island,11/19/2019,Z_OLD_STACYS,1=0-33% clouds,3= wind 8-12 mph; large wavelets, W, 1=high slack,195,15,9.4, 162, 8.5, 3.1, 0.19, 0.4, , 1=absent, 2, Outside, , false, Location : Stacy's  Station: outside  fDOM crossed out  tow type 1   drag method 1   NUT 1 = EF119B0764 + EF119B0765 taken at 38.09584 121.58961  VEG%: SAV 25%; EICCRA 30%; SCHSPP 20%: LUDWIG 10%; PHRAUS 5%; Open water no veg 75%;  photo taken on iphone  Nutrient filter lot: A10168093  CHl filter lot: T70633  (filter lot can be applied to 18NOV2019 too
true,3315,Mudsucker,DE;KP;MMS,Decker Island,11/19/2019,Z_OLD_DECKER INSIDE,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 2=ebb,142,15.2,9.6, 388, 8.6, 4.6, 0.21, 0.5, , 1=absent, , , , false, get start GPS from map directly outside breach  VEG%: SAV 90%; SCHSPP 10%; Open water no veg 20%  flux no possible- too slow- nutrients + photo from flux location + tows on exterior
true,3083,Mudsucker,DC;SH;KP;MMS,Miner Slough,09/23/2019,Z_OLD_MINSLO2,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, N, 4=flood,167,19.5,9, 135, 7.7, 3.5, , 0.2, , 1=absent, , , , false, 
true,3154,Mudsucker,DC;DE;GU;MMS,Yolo Bypass,08/28/2019,Z_OLD_STAIRSTEPS1,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 4=flood,,,, , , , , , , 1=absent, , , , false, Location: Stairsteps; station not listed; 1-2 kg SAV  Use previous environmentals
false,3266,Chinook,MA;NE;DE;SH;KP;MMS,Decker Island,12/17/2019,Z_OLD_DECKER INSIDE,2=33-66% clouds,1=wind 1-3 mph; scaley ripples, SE, 2=ebb,74,9.3,8.1, 425, 9.1, 12.1, 0.22, 0.4, 1896.2, 1=absent, 2, Inside, , false, DID FIVE CASTS FOR BOTH NETS IN POND EACH 2M CAST  NUT2 collected at 38.08434 121.72393
true,3289,Mudsucker,DE;KP;MMS,Lookout Slough,09/04/2019,Z_OLD_LOOKOUTVOGELOUTSIDE,2=33-66% clouds,1=wind 1-3 mph; scaley ripples, W, 2=ebb,,23.9,2.6, 181, 7.2, 6, 0.11, 0.4, 9.3, 1=absent, , , , false, Location Lookout  Station Vogle  secchi not recorded  VEG% SAV 100%; PELAGIC 80%  CHL filter- 26915012; Nutrient filter- A10168093  Nut1=EF0919B0197 GPS1
false,3291,Mudsucker,DE;KP;MMS,Miner Slough,09/04/2019,Z_OLD_PROBR,1=0-33% clouds,0=Calm; glassy, NA, 2=ebb,,24.6,3, 159, 7.1, 2.1, 0.13, 0.5, 10.2, 1=absent, , , , false, tow type 1   drag method 4  trawls taken @ breach durin edd tide  During processing of CHL- during DI rinse of graduated cylinder; the DI rinse water was spilled and didn't make it into the filter.  NUT4-PI-04SEP2019- EF0919B0195; 38.24500 121.66353
true,3319,Mudsucker,MA;DE;GU;MMS,Liberty Island,11/18/2019,Z_OLD_LIBE_UNK,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, NA, 2=ebb,175,15.3,9.1, 161, 8.7, 2.6, 0.15, 0.2, , 1=absent, 2, Inside, , false, Location Liberty  Station inside  Guest Sam Bashevkin  Tow type 1   Drag method 1  Veg % SAVGEN 95%; EICCRA 5%; Open water no veg 25%:  image 645  fDOM not recorded  NUT2=EF1119B0760 38.24796 121.68404
true,3887,Mudsucker,CB;DC;NE;GU;SH;MMS,z_old_Cache Slough,09/24/2019,Z_OLD_SHAG1,1=0-33% clouds,2= wind 4-7 mph; small wavelets, N, 3=low slack,176,20.4,8.3, 269, 7.8, 2.3, , 0.4, , 1=absent, , , , false, Location: Shag Slough? Station: SHAGLAM1
true,3107,Mudsucker,JC;DC;SH,Nurse-Denverton,10/11/2019,Z_OLD_NURSE1,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, NE, 4=flood,36,16.2,7.9, 7541, 7.4, 26.5, , 1, , 1=absent, , , , false, 
true,3151,Mudsucker,DC;DE;GU;MMS,z_old_Cache Slough,08/28/2019,Z_OLD_CACHE,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 4=flood,,,, , , , , , , , , , , false, Location: Shag Slough; no station listed
true,3152,Mudsucker,DC;DE;GU;MMS,Yolo Bypass,08/28/2019,Z_OLD_STAIRSTEPS1,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, S, 4=flood,,,, , , , , , , 1=absent, , , , false, Location: Stairsteps; station not listed  Previous environmentals used
true,3140,Mudsucker,DC;GU;KP;MMS,Stacys Island,08/27/2019,Z_OLD_STACYS,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 2=ebb,161,23.4,7.8, 321, 7.7, 3.7, , 0.3, , 3=medium, , , , false, Location: Stacy Island; no station listed; Unids too mangled to ID
false,3516,Mudsucker,DE;GU;JJ;MMS;MS,Liberty Island,04/25/2019,Z_OLD_SWLIBERTY,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, SW, 1=high slack,112,21.2,9.3, 309, 8.5, 4.1, , 0.4, 9.8, 1=absent, , , , false, PC read -0.38  PHY3-LI-25APR2019  drag method 1
false,1340,Chinook,MS;JM;DC;TM,Liberty Island,08/16/2016,LI005W,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 4=flood,101,21.8,11, 149, 8.7, 7.3, , , , 2=low, , , , false, Water Sample #3 taken for UC Davis (Tomo Kurobe). Sampled in/through lots of SAV and filamentous algae (~7-10 gallons of filamentous algae in net).
false,1341,Chinook,JM;DC,Liberty Island,09/15/2016,LI003E,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 2=ebb,,18.5,9, 180, 6.5, 3.6, , , , 1=absent, , , , false, Crew: Jared Mauldin; Dave Contreras; Steve Slater; Jeremiah Bautista. Water sample #2 taken for UC Davis (Tomo Kurobe). No secchi because disk was visible to bottom substrate
false,1342,Chinook,JM;DC,Liberty Island,09/15/2016,LI004E,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 2=ebb,,18.3,9.5, 179, 7.3, 12.3, , , , 1=absent, , , , false, Water sample #3 taken for UC Davis (Tomo Kurobe). No secchi because disk was visible to bottom substrate
false,1343,Chinook,JM;DC,Liberty Island,09/15/2016,LI006E,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 2=ebb,,18.6,10.3, 189, 7.9, 6, , , , 1=absent, , , , false, Water sample #4 taken for UC Davis (Tomo Kurobe). No secchi because disk was visible to bottom substrate
false,1344,Chinook,JM;DC,Liberty Island,09/15/2016,LI005E,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 2=ebb,,18.9,10, 190, 8.3, 5.3, , , , 1=absent, , , , false, 
false,1345,Chinook,JM;DC,Liberty Island,09/15/2016,LI002E,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 2=ebb,,19.2,10.9, 177, 8.4, 6.6, , , , 2=low, , , , false, No secchi because disk was visible to bottom substrate. Entire net not deployed due to vegetation. Approximately 3/4 gallons of filamentous algae in net. Volume calculated like a beach seine sample (V = 1/2 depth x length x width).
false,1346,Kvichak,RKH;JM;RK,Miner Slough,09/08/2016,Z_OLD_MINSLO1,1=0-33% clouds,2= wind 4-7 mph; small wavelets, W, 4=flood,129,20.3,9.3, 170, 6.6, 6.4, , , , 1=absent, , , , false, Sarah Stinton (SAS) from UC Davis along
false,1347,Kvichak,RKH;RK;JM,Miner Slough,09/08/2016,Z_OLD_PROBR,1=0-33% clouds,2= wind 4-7 mph; small wavelets, SW, 4=flood,159,20,2, 175, 6.7, 2.8, , , , 1=absent, , , , false, 
false,1348,Kvichak,RKH;RK;JM,Miner Slough,09/08/2016,Z_OLD_MINER TULES,1=0-33% clouds,2= wind 4-7 mph; small wavelets, SW, 4=flood,173,,, , , 5.9, , , , 1=absent, , , , false, YSI batteries dead
false,1349,Kvichak,RKH;RK;JM,Lindsey Slough,09/08/2016,Z_OLD_CC1,1=0-33% clouds,3= wind 8-12 mph; large wavelets, W, 4=flood,107,,, , , 6, , , , 1=absent, , , , false, YSI batteries dead
false,1350,Kvichak,RKH;JM;RK,Lindsey Slough,09/08/2016,Z_OLD_CC2,1=0-33% clouds,3= wind 8-12 mph; large wavelets, W, 4=flood,104,,, , , 5.3, , , , 1=absent, , , , false, YSI batteries dead
false,1351,Kvichak,RKH;RK;JM,Lindsey Slough,09/08/2016,Z_OLD_CC2,1=0-33% clouds,3= wind 8-12 mph; large wavelets, W, 4=flood,109,,, , , 5.8, , , , 1=absent, , , , false, Lots of detritus in trawl; only preserved a 50% subsample YSI batteries dead
